customer,billing,date
~g9bl,64.11999999999999,2018-11-02
6RRBx,34.980000000000004,2018-11-02
F8USx,18.93,2018-11-02
s1Xyr,5.3,2018-11-02
6egwV,25.59,2018-11-02
OPSxt,32.69,2018-11-02
Hdifj,30.069999999999993,2018-11-02
TQL5S,5.27,2018-11-02
suQdI,77.33000000000001,2018-11-02
gUutw,5.76,2018-11-02
kyWKO,11.919999999999998,2018-11-02
72iy2,38.2,2018-11-02
DbKk4,12.739999999999998,2018-11-02
flNMB,19.07,2018-11-02
~G2K8,14.669999999999998,2018-11-02
bEPIm,5.59,2018-11-02
ii88V,25.82,2018-11-02
5fUms,2.67,2018-11-02
HLgbZ,2.08,2018-11-02
PNZGp,32.410000000000004,2018-11-02
b1IIJ,17.47,2018-11-02
m_zFm,20.569999999999997,2018-11-02
t0Gt3,7.35,2018-11-02
aP4JO,20.92,2018-11-02
~74HL,5.57,2018-11-02
MeH7y,12.170000000000002,2018-11-02
1HTy5,10.27,2018-11-02
U3YWo,73.92999999999999,2018-11-02
tChht,68.52000000000001,2018-11-02
8dhTi,39.47,2018-11-02
y9~Oq,36.77,2018-11-02
CCb4x,59.49,2018-11-02
YBjtR,6.299999999999999,2018-11-02
kICuA,51.980000000000004,2018-11-02
zPZFG,21.36,2018-11-02
HMnnv,27.990000000000002,2018-11-02
rcgiJ,9.35,2018-11-02
5vmet,35.97,2018-11-02
JfYTW,19.17,2018-11-02
2~7di,47.67,2018-11-02
ojoQR,38.32999999999999,2018-11-02
fNJ~i,58.56999999999999,2018-11-02
7RILe,2.95,2018-11-02
W96J6,26.720000000000002,2018-11-02
b5QsR,38.86,2018-11-02
RnfNP,17.8,2018-11-02
PZrkv,39.47999999999999,2018-11-02
KUOnu,17.200000000000003,2018-11-02
3e~zW,19.110000000000003,2018-11-02
2pYdJ,69.73,2018-11-02
E6SSo,91.09,2018-11-02
7iusS,2.88,2018-11-02
ZB5pf,6.180000000000001,2018-11-02
MH~yM,31.159999999999997,2018-11-02
XJWg5,3.83,2018-11-02
86llt,46.099999999999994,2018-11-02
JNSK2,16.78,2018-11-02
TMmHk,15.71,2018-11-02
AZ2TD,36.07,2018-11-02
WggRc,10.64,2018-11-02
eZVLH,29.73,2018-11-02
KicrD,42.540000000000006,2018-11-02
6vJN_,56.69,2018-11-02
povez,14.550000000000002,2018-11-02
150ud,31.58,2018-11-02
H2kew,39.040000000000006,2018-11-02
Xv4dN,46.790000000000006,2018-11-02
F2J9N,32.54,2018-11-02
M6nm0,30.540000000000006,2018-11-02
8W_NW,41.99,2018-11-02
1Tf45,34.489999999999995,2018-11-02
RwAIN,12.34,2018-11-02
VZX1A,1.12,2018-11-02
F2TZ~,11.17,2018-11-02
XO0GW,18.04,2018-11-02
0XOP2,1.75,2018-11-02
qpJoK,3.51,2018-11-02
y~OAh,24.35,2018-11-02
LiEGM,6.53,2018-11-02
sdiZ9,7.0,2018-11-02
9TU0s,1.42,2018-11-02
~2W3B,23.08,2018-11-02
nBD7H,36.77,2018-11-02
TBf6J,35.0,2018-11-02
RtB3R,5.26,2018-11-02
CMZ8B,46.69,2018-11-02
BpOg9,23.61,2018-11-02
7KvAq,41.379999999999995,2018-11-02
7kAIo,6.41,2018-11-02
ItVZg,30.310000000000002,2018-11-02
lolBg,20.12,2018-11-02
8rCkv,83.12,2018-11-02
IMCaF,14.23,2018-11-02
Haehi,7.2,2018-11-02
ugbh5,136.4,2018-11-02
LsN_S,35.21,2018-11-02
SKry_,2.34,2018-11-02
oDovr,32.79,2018-11-02
OynOC,53.99,2018-11-02
C5~tf,20.59,2018-11-02
nOyI3,4.85,2018-11-02
WAJhz,38.43,2018-11-02
LPx~C,49.36000000000001,2018-11-02
tf_g1,24.87,2018-11-02
~Svl2,49.239999999999995,2018-11-02
DmHQI,22.639999999999997,2018-11-02
RSYnb,7.699999999999999,2018-11-02
N01lo,5.2,2018-11-02
UYshc,11.79,2018-11-02
FkG1L,21.939999999999998,2018-11-02
HK~Yp,38.15,2018-11-02
b6ODW,6.26,2018-11-02
qjTAP,54.38,2018-11-02
k1yCF,16.22,2018-11-02
9mZuv,19.730000000000004,2018-11-02
NhKen,16.380000000000003,2018-11-02
bwpK1,23.88,2018-11-02
eDnu_,70.66,2018-11-02
BoUOk,18.77,2018-11-02
vkzBC,11.03,2018-11-02
VuPO_,13.75,2018-11-02
8EbaJ,4.9,2018-11-02
YF598,23.930000000000003,2018-11-02
KgwmF,47.92,2018-11-02
bcpzV,4.319999999999999,2018-11-02
UxNa1,52.07000000000001,2018-11-02
2GY0E,20.660000000000004,2018-11-02
2uuhS,33.199999999999996,2018-11-02
3kGYY,12.11,2018-11-02
C6CXs,18.28,2018-11-02
7LU9b,16.05,2018-11-02
GODRq,6.74,2018-11-02
MVj4~,10.34,2018-11-02
2hHqq,11.52,2018-11-02
TbkWx,39.78,2018-11-02
7GT64,15.540000000000001,2018-11-02
quQJd,58.629999999999995,2018-11-02
XNqxa,5.74,2018-11-02
Dny3r,23.529999999999998,2018-11-02
Fx72V,28.63,2018-11-02
09IbI,47.67999999999999,2018-11-02
Z_LPZ,47.23,2018-11-02
~a1D_,30.430000000000003,2018-11-02
9AzaI,7.49,2018-11-02
R3OS8,42.92999999999999,2018-11-02
s~9wR,1.54,2018-11-02
2L9nb,10.72,2018-11-02
~fW9~,9.41,2018-11-02
mOS2N,12.45,2018-11-02
VsINl,25.28,2018-11-02
Mfd_k,1.95,2018-11-02
Scava,47.839999999999996,2018-11-02
882D8,16.55,2018-11-02
kAAVR,15.64,2018-11-02
A2ouA,3.37,2018-11-02
wSSQR,5.489999999999999,2018-11-02
J12RK,16.12,2018-11-02
YhS79,17.34,2018-11-02
ZwuMU,3.95,2018-11-02
0dclH,28.2,2018-11-02
rTfs1,10.34,2018-11-02
6XeWA,22.22,2018-11-02
ZtZwH,13.810000000000002,2018-11-02
ClrdE,39.0,2018-11-02
apaIO,3.52,2018-11-02
1iVZO,94.16999999999999,2018-11-02
Q_Uly,5.84,2018-11-02
eEfe5,19.19,2018-11-02
m63KB,27.84,2018-11-02
FpLj2,28.639999999999997,2018-11-02
ux5_e,26.629999999999995,2018-11-02
J_Epa,49.33,2018-11-02
7r1wU,27.72,2018-11-02
55lEl,34.8,2018-11-02
6mG0J,46.99,2018-11-02
4W8lx,27.950000000000003,2018-11-02
t4Ili,65.68,2018-11-02
vHxLb,17.83,2018-11-02
dK_Iu,6.2,2018-11-02
oCEZj,24.73,2018-11-02
slROI,18.090000000000003,2018-11-02
skmZ7,26.97,2018-11-02
BnWbU,52.25000000000001,2018-11-02
HmzWN,11.280000000000001,2018-11-02
fwces,12.989999999999998,2018-11-02
Xz60M,24.54,2018-11-02
08XNo,6.95,2018-11-02
hWTOE,5.05,2018-11-02
SvziW,11.48,2018-11-02
d0jnN,28.68,2018-11-02
XgDTX,25.14,2018-11-02
O~mSV,15.959999999999997,2018-11-02
RimKu,28.08,2018-11-02
EZQ6N,10.110000000000001,2018-11-02
R8IpR,22.130000000000003,2018-11-02
_DmsH,29.32,2018-11-02
5YAop,22.87,2018-11-02
kslI1,5.28,2018-11-02
3X_79,7.8,2018-11-02
ropXZ,42.38,2018-11-02
2D6Gp,17.5,2018-11-02
8i6oJ,33.04,2018-11-02
Tdvn6,25.47,2018-11-02
8tLIk,23.26,2018-11-02
4Nt2j,30.86,2018-11-02
BZ3i1,85.33,2018-11-02
RBcU2,20.03,2018-11-02
Df1DV,19.6,2018-11-02
FVgrr,7.0,2018-11-02
wGwu8,3.54,2018-11-02
e4mP1,18.5,2018-11-02
yKHe6,17.7,2018-11-02
tj8fZ,7.12,2018-11-02
27hpS,37.66,2018-11-02
60DRO,87.61000000000001,2018-11-02
AnQu7,13.3,2018-11-02
g5XyW,15.329999999999998,2018-11-02
o9~iv,23.580000000000002,2018-11-02
vn_Ad,28.029999999999998,2018-11-02
rRpz1,32.29,2018-11-02
nFlGN,32.260000000000005,2018-11-02
NfTTv,45.65,2018-11-02
5otvM,2.72,2018-11-02
anbx~,11.9,2018-11-02
